genre,name,artists_name,album_name,album_release_date,duration_ms,popularity,track_number,uri
k_pop,Likey,TWICE,Twicetagram,2017-10-30,207813,67,1,spotify:track:0IEVKWduAaMcZepZQVr80T
k_pop,Ma City,BTS,The Most Beautiful Moment in Life Pt.2,2015-11-30,256686,63,5,spotify:track:2wm3oZ5IzWz5tVyo3gFIJq
k_pop,SOBER,BIGBANG,MADE,2016-12-13,237512,68,8,spotify:track:3gUSmSBeeYsSMWECJcQW8w
k_pop,Look At Me,TWICE,Twicetagram,2017-10-30,193146,66,8,spotify:track:6Jkcg39vqttJezD7nfqrSj
k_pop,21st Century Girl,BTS,Wings,2016-10-10,192596,63,13,spotify:track:52d5NT69mkmr6WzvQJ9vHr
k_pop,Jump,BTS,Skool Luv Affair,2014-02-12,236488,65,9,spotify:track:1jZZm43y7RPuwjJQ5LrGHe
k_pop,I Am The Best,2NE1,I Am The Best,2014-12-09,208730,66,1,spotify:track:26EM9sZnQkLLQxixGd88KE
k_pop,We Are Bulletproof Pt.2,BTS,2 Cool 4 Skool,2013-06-12,223933,64,2,spotify:track:5pjHS3EpHurMyIpB2QBnEd
k_pop,Spine Breaker,BTS,Skool Luv Affair,2014-02-12,238529,64,8,spotify:track:0F3Dpp18yIxIm7XRmn0LBj
k_pop,Like Ooh-Ahh,TWICE,The Story Begins,2015-10-20,215080,66,1,spotify:track:3c0CJ0DBgsGZ7I79lyx02Z
k_pop,Stigma,BTS,Wings,2016-10-10,216063,63,5,spotify:track:3LTwMQ9kkn5VVhP3jipBlR
k_pop,Monster,EXO,EX'ACT,2016-06-09,221341,66,2,spotify:track:7GbUWl6qLW1gdngbEV2WDJ
k_pop,TT,TWICE,Twicecoaster: Lane 1,2016-10-24,212986,67,1,spotify:track:60jFaQV7Z4boGC4ob5B5c6
k_pop,Converse High,BTS,The Most Beautiful Moment in Life Pt.1,2015-04-29,209715,62,7,spotify:track:6ZITsss1URNOIKhniylpBP
k_pop,Let Me Know,BTS,Dark & Wild,2014-08-20,254973,63,5,spotify:track:2uqzfXB7NlBnhQd04W7HaH
k_pop,CALL ME BABY,EXO,EXODUS - The 2nd Album,2015-03-30,211013,66,1,spotify:track:6Rx0ORYPP3GH9rTvGS5Vy8
k_pop,Attack on Bangtan,BTS,"O!RUL8,2?",2013-09-11,246525,63,8,spotify:track:06PapYCtVDlprJPgGELabn
k_pop,FXXK IT,BIGBANG,MADE,2016-12-13,231748,68,1,spotify:track:3lYvepDz6yYj29z7e4r5z0
k_pop,BTS Cypher Pt.3: Killer,"BTS, Supreme Boi",Dark & Wild,2014-08-20,267782,62,7,spotify:track:5OlieB5VdsOMuBuCtllXGW
k_pop,SIGNAL,TWICE,SIGNAL,2017-05-15,196680,65,1,spotify:track:15rX80MpEJ2OqW3dPunQvI
k_pop,"눈,코,입 (Eyes, Nose, Lips)",TAEYANG,RISE,2014-06-03,229989,72,2,spotify:track:0lYtIvI7bO51PZSeK22Mbz
k_pop,Outro: Wings,BTS,You Never Walk Alone,2017-02-13,225446,64,17,spotify:track:7kyUapJyppdjzoAWB6XS14
k_pop,Peek-A-Boo,Red Velvet,Perfect Velvet - The 2nd Album,2017-11-17,189049,65,1,spotify:track:42tFTth2jcF7iSo0RBjfJF
k_pop,Red Flavor,Red Velvet,The Red Summer - Summer Mini Album,2017-07-09,191139,67,1,spotify:track:7nKQ5WAcjnG48knyLuo8gO
k_pop,CROOKED,G-DRAGON,COUP D'ETAT,2013-09-05,224792,72,8,spotify:track:4EwNWRBWdZ6bgvxRHlZ8OO
k_pop,Just Right,GOT7,Just Right,2015-07-13,222398,65,1,spotify:track:16dL6zhP5MLxEwX8sbqCOa
k_pop,Coffee,BTS,"O!RUL8,2?",2013-09-11,260433,65,6,spotify:track:4eqHEzFsCCiGALC1MHbqnU
k_pop,N.O,BTS,"O!RUL8,2?",2013-09-11,209751,63,2,spotify:track:7JosxtkCqIQieNWXA2Dj3v
k_pop,MOVE,TAEMIN,MOVE - The 2nd Album,2017-10-16,211949,63,1,spotify:track:1cgBWgoL6520lR2QZDzdGN
k_pop,Rewind,Wonder Girls,REBOOT,2015-08-03,213480,65,4,spotify:track:2YZa0dsV3xXGZ61XFYiRt8
k_pop,Me Gustas Tu,GFRIEND,Flower Bud,2015-07-23,220745,67,2,spotify:track:3AtYSKkZ75F7z0fi03pKuq
k_pop,Rain,BTS,Dark & Wild,2014-08-20,264666,62,6,spotify:track:6Jr2GutTFyfvAzGA36R2Uj
k_pop,BAE BAE,BIGBANG,MADE,2016-12-13,169429,67,6,spotify:track:3miMeSGd7rzJEtuhQnzm0f
k_pop,Autumn Leaves,BTS,The Most Beautiful Moment in Life Pt.2,2015-11-30,267150,64,8,spotify:track:158kubraiqKrcYpRsDHrBU
k_pop,Dope,BTS,The Most Beautiful Moment in Life: Young Forever,2016-05-02,240020,62,9,spotify:track:4o3Ao6wY5fbJR32fQKabfQ
k_pop,Hold Me Tight,BTS,The Most Beautiful Moment in Life Pt.1,2015-04-29,274991,63,3,spotify:track:2SKBwYW23iHoB7CrYSeyC9
k_pop,The Eve,EXO,THE WAR - The 4th Album,2017-07-18,176026,65,1,spotify:track:2ujA6F1cpk3m8lsPE5aKua
k_pop,Beautiful,Crush,"Guardian (Original Television Soundtrack), Pt. 4",2016-12-17,227583,69,1,spotify:track:6mzF8HvHdVrzJNd8M1uFCS
k_pop,Day 1,Red Velvet,The Red - The 1st Album,2015-09-09,206357,64,9,spotify:track:74muMkVdMYoR65lhmdzy13
k_pop,Am I Wrong,BTS,Wings,2016-10-10,213082,59,12,spotify:track:7BFVLQASwcGrxEPsz1teIW
k_pop,If You Do,GOT7,MAD Winter Edition,2015-11-23,210834,64,4,spotify:track:2Yzb7XLjtfZCeVm6XYH55s
k_pop,Whalien 52,BTS,The Most Beautiful Moment in Life Pt.2,2015-11-30,243222,61,4,spotify:track:1otHp4s8IRCLn1JZcVrNhz
k_pop,GOOD BOY,GD X TAEYANG,GOOD BOY,2014-11-21,245192,67,1,spotify:track:52mglSL6bdbrg9zig7nazP
k_pop,Boyz with Fun,BTS,The Most Beautiful Moment in Life Pt.1,2015-04-29,244156,62,6,spotify:track:1sz4drpDPpHVrPUgnXGaNn
k_pop,2! 3!,BTS,Wings,2016-10-10,272537,62,14,spotify:track:3KVOfGrYVjoP1w8T2HVltm
k_pop,Knock Knock,TWICE,Twicecoaster: Lane 2,2017-02-20,195746,65,1,spotify:track:3HWOknOVmd44e1jg4g0Sga
k_pop,Okay Dokey,"MINO, ZICO",Show Me the Money 4 Episode 6,2015-08-29,248202,63,1,spotify:track:1R6qeTvAvaxB7hydIYVIY8
k_pop,Rough,GFRIEND,SNOWFLAKE,2016-01-25,209104,66,2,spotify:track:75vepksethG7GrRn815ZYH
k_pop,Cherry Bomb,NCT 127,NCT #127 CHERRY BOMB - The 3rd Mini Album,2017-06-14,236667,64,1,spotify:track:3o8QzWsiiqTUVgBZfHgF58
k_pop,Heart Attack (츄),LOONA,Chuu,2017-12-28,194941,61,1,spotify:track:6SSC9KZQaxBdyipKRigrFC
k_pop,Harlem River,Kevin Morby,Harlem River,2013-11-26,555883,55,3,spotify:track:3InicSZVr4usKZg1ePJEDz
k_pop,Hello Bitches,CL,Hello Bitches,2015-12-05,178177,62,1,spotify:track:72ysGFB4mZTgQsPqN9PzPS
k_pop,Lost,BTS,Wings,2016-10-10,241787,61,10,spotify:track:2So2zLatKtnIP0cy3a4Fn0
k_pop,MAMA,BTS,Wings,2016-10-10,212275,60,8,spotify:track:51hIGgLnT8s6gEzjVqKlEF
k_pop,Intro: Boy Meets Evil,BTS,Wings,2016-10-10,121770,60,1,spotify:track:1hlT8F0X27uf3fpOWawjbY
k_pop,Begin,BTS,Wings,2016-10-10,229740,61,3,spotify:track:0bGJHUPR6ems9tzIljlPFR
k_pop,Lotto,EXO,LOTTO - The 3rd Album Repackage,2016-08-18,189774,63,1,spotify:track:6ukWoX4AHV76JdYVdKRPk8
k_pop,Awake,BTS,Wings,2016-10-10,226160,61,9,spotify:track:3gxNkvcP8scSzL6mGznTn3
k_pop,Growl,EXO,The 1st Album 'XOXO' (Repackage),2013-08-05,207053,66,1,spotify:track:4pi0Elz7B7cLfw37J3bYm9
k_pop,Some (feat. Lil Boi),"SOYOU, Junggigo, lIlBOI",Some,2014-02-07,211374,70,1,spotify:track:0g1AmSKokPboFrxmG1dxKx
k_pop,Crazy,4Minute,Crazy,2015-02-09,192400,61,1,spotify:track:5DZdCgnX9xAj59X6X7cQBs
k_pop,Bonbon,Era Istrefi,Bonbon EP,2016-07-21,167000,62,1,spotify:track:79Nnbjlw4ulw59lkHUZm9N
k_pop,CLAP,SEVENTEEN,"SEVENTEEN 2ND ALBUM 'TEEN, AGE' (2)",2017-11-06,167797,66,4,spotify:track:19t5GSN3XsLB7UOsZD8Fwv
k_pop,EVERYTHING,The Black Skirts,TEAM BABY,2017-05-30,293000,70,10,spotify:track:19Hg1UCZaCdpHB37L7x63X
k_pop,First Love,BTS,Wings,2016-10-10,189795,57,6,spotify:track:1UeVC9gDeHxwlWOQyQJerj
k_pop,LET'S NOT FALL IN LOVE,BIGBANG,MADE,2016-12-13,211926,68,4,spotify:track:6UgkB0xM45TR3Zjqm3GQ6T
k_pop,Ko Ko Bop,EXO,THE WAR - The 4th Album,2017-07-18,190422,63,2,spotify:track:5EzitieoPnjyKHAq0gfRMa
k_pop,instagram,DEAN,instagram,2017-12-26,255728,66,1,spotify:track:6z1kLsntE7FuzKZHZWrXYN
k_pop,Look Here,BTS,Dark & Wild,2014-08-20,218887,60,12,spotify:track:0x4cMbCLC6L7aJQs3EiPaZ
k_pop,Pretty U,SEVENTEEN,SEVENTEEN 1ST ALBUM [FIRST ‘LOVE&LETTER’],2016-04-25,207299,67,2,spotify:track:1117juaaAkSIUsQxTmmcKM
k_pop,IF YOU,BIGBANG,MADE,2016-12-13,264215,68,9,spotify:track:4kaY4LbdbomICC25gYGGtn
k_pop,Butterfly (Prologue Mix),BTS,The Most Beautiful Moment in Life: Young Forever,2016-05-02,295127,59,5,spotify:track:0XwvxY5yMRI7vh55eBRe3B
k_pop,Gashina,SUNMI,SUNMI SPECIAL EDITION [Gashina],2017-08-22,180000,63,1,spotify:track:0jFHMDRXxKaREor3hBEEST
k_pop,I Will Go To You Like the First Snow,AILEE,"Guardian (Original Television Soundtrack), Pt. 9",2017-01-07,229678,66,1,spotify:track:2BPXILn0MqOe5WroVXlvN1
k_pop,Outro: House of Cards,BTS,The Most Beautiful Moment in Life Pt.2,2015-11-30,177413,60,9,spotify:track:2cy3eWaTBoOFJwtFMR6jKb
k_pop,Heart Shaker,TWICE,Merry & Happy,2017-12-11,186893,64,1,spotify:track:52FCAZn0YEkZfF0BtiAUMW
k_pop,Come Back Home,BTS,Come Back Home,2017-07-04,244587,58,1,spotify:track:5dEaQCUCJIQyJs5qVZYXOC
k_pop,We On,BTS,"O!RUL8,2?",2013-09-11,230885,57,3,spotify:track:29vOLabxvytbI8fX9xgTaD
